question,answer,original_question,original_answer,quality_score_q,quality_score_a,avg_quality,language,category
Chifukwa chiyani ndiyenera kusunga musanagwiritse ntchito?,Kusunga kaye kumakuthandizani kuti muchepetse ndalama pambali zisanachitike.,Why should I save before spending?,Saving first ensures you keep money aside before it disappears on spending.,0.9,0.7,0.8,Chichewa,Budgeting & Saving
Kodi Chiwongola dzanja ndi chiani?,Ndizosangalatsa zomwe zimapezeka pazosunga zanu zoyambirira komanso chidwi chowonjezeredwa.,What is compound interest?,It is interest earned on both your original savings and the interest already added.,0.85,0.5846153846153846,0.7173076923076923,Chichewa,Budgeting & Saving
Chifukwa chiyani kuyambitsa koyambirira kumasungira ndalama?,"M'mbuyomu mumayamba, ndalama zanu zimakula pakapita nthawi.",Why is starting early important for savings?,"The earlier you start, the more your money grows over time.",0.2571428571428571,0.9400000000000001,0.5985714285714285,Chichewa,Budgeting & Saving
Kodi kuli bwino kupulumutsa kunyumba kapena kubanki?,"Banki ndi yotetezeka ndipo ingakupatseni chidwi, mosiyana ndi kupulumutsa kunyumba.",Is it better to save at home or in a bank?,"A bank is safer and may pay you interest, unlike saving at home.",0.8909090909090909,0.8615384615384616,0.8762237762237762,Chichewa,Budgeting & Saving
Kodi Gulu Losunga Ndi Chiyani?,Gulu pomwe mamembala amasungira ndalama limodzi ndikubwereketsa wina ndi mnzake.,What is a savings group?,A group where members pool money together and lend to each other.,0.48,0.95,0.715,Chichewa,Budgeting & Saving
Kodi ngozi zopulumutsa kunyumba ndi ziti?,"Ndalamazo zitha kubadwa, kutayika, kapena kugwiritsa ntchito mosavuta.",What are the risks of saving at home?,"The money can be stolen, lost, or spent too easily.",0.925,0.76,0.8425,Chichewa,Budgeting & Saving
N 'chifukwa Chiyani Tiyenera Kutsatira Ndalama?,Ndalama zotsatila zimakuthandizani kudziwa komwe ndalama zanu zimapita.,Why keep track of expenses?,Tracking expenses helps you know where your money goes.,0.12,0.6666666666666667,0.39333333333333337,Chichewa,Budgeting & Saving
Kodi ndi bata lotani?,Zimatanthawuza kukonzekera Kwacha ndalama iliyonse yomwe palibe amene amasiyidwa osavomerezeka.,What is zero-based budgeting?,It means planning every kwacha of income so none is left unaccounted for.,0.3,0.23076923076923078,0.2653846153846154,Chichewa,Budgeting & Saving
Chifukwa Chiyani Ndalama Zosunga?,Zosasinthika zokha zimapangitsa kuti zikhale zosavuta komanso zogwirizana.,Why automate savings?,Automatic transfers make saving easier and more consistent.,0.8,0.22499999999999998,0.5125,Chichewa,Budgeting & Saving
Kodi bajeti ndi chiani?,Ndipamene ndalama zanu ndizoposa zomwe mwawononga.,What is a budget surplus?,It is when your income is more than your expenses.,0.76,0.85,0.8049999999999999,Chichewa,Budgeting & Saving
Kodi kuchepa kwa bajeti ndi chiyani?,Ndi momwe ndalama zanu ndizokwera kuposa zomwe mumapeza.,What is a budget deficit?,It is when your expenses are higher than your income.,1.0,0.5333333333333333,0.7666666666666666,Chichewa,Budgeting & Saving
Kodi ndalama zimathandiza bwanji kulima?,"Amapereka ndalama za nthangala, zida, ndi feteleza panthawi yoyenera.",How do savings help in farming?,"They provide money for seeds, tools, and fertilizer at the right time.",0.3,0.95,0.625,Chichewa,Budgeting & Saving
Kodi kuchedwa kumachitira ndi chiyani?,Zikutanthauza kukana pang'ono zomwe akufuna kuti mukwaniritse zolinga zazikulu pambuyo pake.,What is delayed gratification?,It means resisting small wants today to reach bigger goals later.,0.35,0.5272727272727272,0.4386363636363636,Chichewa,Budgeting & Saving
Kodi mabanja angatani?,Ayenera kukambirana ndalama ndi kuvomereza zofunika kwambiri.,How can families budget together?,They should discuss income and agree on priorities openly.,0.24,0.26666666666666666,0.2533333333333333,Chichewa,Budgeting & Saving
Ndi zida ziti zomwe zingathandize popanga bajeti?,"Mutha kugwiritsa ntchito mabuku, mapulogalamu am'manja, kapena ma boloni osavuta.",What tools can help in budgeting?,"You can use notebooks, mobile apps, or simple spreadsheets.",0.9,0.6666666666666667,0.7833333333333334,Chichewa,Budgeting & Saving
Kodi banki ndi chiyani?,"Ndi malo otetezeka kuti musunge ndalama, zoperekedwa ndi mabanki.",What is a bank account?,"It is a safe place to keep money, offered by banks.",0.4933333333333333,0.9454545454545454,0.7193939393939394,Chichewa,Banking & Mobile Money
Chifukwa chiyani kugwiritsa ntchito banki m'malo mwa ndalama kunyumba?,Banks amasunga ndalama zotetezeka ndipo amatha kulipira chidwi.,Why use a bank instead of cash at home?,Banks keep money safe and may pay interest.,1.0,0.925,0.9625,Chichewa,Banking & Mobile Money
Ndalama zam'manja ndi chiyani?,"Ndi ntchito yomwe imalola kutumiza, kulandira, ndi kusunga ndalama pogwiritsa ntchito foni.",What is mobile money?,"It is a service that allows sending, receiving, and storing money using a phone.",1.0,0.8615384615384616,0.9307692307692308,Chichewa,Banking & Mobile Money
Kodi ndimatsegula bwanji akaunti yakubanki?,Pitani ku banki yokhala ndi ID ndi zikalata zofunika ngati umboni wokhala.,How do I open a bank account?,Visit a bank with ID and required documents like proof of residence.,1.0,0.8,0.9,Chichewa,Banking & Mobile Money
Kodi Akaunti Yosunga Ndalama Ndi Chiyani?,Ndi akaunti yakubanki yopangidwa kuti isunge ndalama ndikupeza chidwi.,What is a savings account?,It is a bank account designed to keep money and earn interest.,1.0,0.9,0.95,Chichewa,Banking & Mobile Money
Kodi khadi la ATM ndi liti?,Ndi khadi yomwe imagwiritsidwa ntchito kuti ichotse ndalama zamakina kapena kulipira pakompyuta.,What is an ATM card?,It is a card used to withdraw money from cash machines or pay electronically.,0.8,0.7809523809523808,0.7904761904761904,Chichewa,Banking & Mobile Money
Kodi banki ndi chiyani?,Amalipira Banks amalipira ndalama ngati zochotsa kapena kukonza akaunti.,What are bank charges?,They are fees banks charge for services like withdrawals or account maintenance.,0.55,0.75,0.65,Chichewa,Banking & Mobile Money
Chifukwa chiyani ziwinda ndizofunikira mu ndalama zam'manja?,Pini imateteza akaunti yanu kuchokera ku mwayi wosagwiritsidwa ntchito.,Why are PINs important in mobile money?,A PIN protects your account from unauthorized access.,0.7809523809523808,1.0,0.8904761904761904,Chichewa,Banking & Mobile Money
Kodi ndiyenera kuchita chiyani ndikayiwala pini yanga?,Pitani ku banki yanu kapena ogulitsa mafoni kuti mukonzenso bwinobwino.,What should I do if I forget my PIN?,Visit your bank or mobile provider to reset it safely.,1.0,0.62,0.81,Chichewa,Banking & Mobile Money
Kodi ndingasunge pogwiritsa ntchito ndalama zam'manja?,"Inde, othandizira ambiri amapereka ndalama zosungiramo zinthu zosangalatsa.",Can I save using mobile money?,"Yes, many providers offer savings wallets with interest.",1.0,0.5666666666666667,0.7833333333333333,Chichewa,Banking & Mobile Money
KYC ikubanki?,Zikutanthauza kuti 'kudziwa malamulo a kasitomala anu omwe amafunikira ID kuti atsegulidwe akaunti.,What is KYC in banking?,It means 'Know Your Customer' rules that require ID for account opening.,0.64,0.65,0.645,Chichewa,Banking & Mobile Money
Chifukwa chiyani sindiyenera kugawana ndi pini yanga?,Kugawana zikhomo kumathandizira kuti ena athe kupeza ndalama zanu popanda chilolezo.,Why should I not share my ATM PIN?,Sharing PINs allows others to access your money without permission.,0.775,0.6799999999999999,0.7275,Chichewa,Banking & Mobile Money
Kodi chidwi ndi chiyani?,Ndi ndalama zowonjezera kubanki kumakulipirani kuti musunge ndalama.,What is interest on savings?,It is the extra money the bank pays you for keeping money with them.,0.3733333333333333,0.5666666666666667,0.47,Chichewa,Banking & Mobile Money
Kodi mafoni am'manja ndi chiyani?,"Ndikugwiritsa ntchito foni yanu kuti muwone bwino, sinthani ndalama, kapena kulipira ngongole kudzera pa pulogalamu ya kubanki.",What is mobile banking?,"It is using your phone to check balance, transfer money, or pay bills via a bank app.",0.15,0.6549019607843137,0.4024509803921569,Chichewa,Banking & Mobile Money
Kodi ndingateteze bwanji akaunti yanga yazantchito?,"Sungani chinsinsi chanu, pewani ma wi-fi, ndikuyang'ana mauthenga mosamala.",How do I protect my mobile money account?,"Keep your PIN secret, avoid public Wi-Fi, and check messages carefully.",0.4,0.3818181818181818,0.3909090909090909,Chichewa,Banking & Mobile Money
Kodi ndingabwereke ndalama pogwiritsa ntchito ndalama?,"Inde, ena opereka ena amalola ngongole zazing'ono kudzera mu mafoni am'manja.",Can I borrow money using mobile money?,"Yes, some providers allow small loans through mobile wallets.",0.6952380952380952,0.8,0.7476190476190476,Chichewa,Banking & Mobile Money
Kodi ndi zochuluka motani?,"Ndi pamene banki imakupatsani mwayi wowononga kuposa momwe muli nazo, ndi chiwongola dzanja.",What is an overdraft?,"It is when the bank allows you to spend more than you have, with interest charges.",0.35,0.92,0.635,Chichewa,Banking & Mobile Money
Chifukwa chiyani ndiyenera kulandira zochitika?,Ndi chitsimikizo ngati pali zolakwa kapena zolakwika.,Why should I keep receipts of transactions?,They are proof in case of disputes or errors.,0.2571428571428571,0.4,0.32857142857142857,Chichewa,Banking & Mobile Money
Kodi banki yogwirizana ndi iti?,Ndi banki ya mamembala ake omwe amagwiritsa ntchito ntchito zake.,What is a cooperative bank?,It is a bank owned by its members who also use its services.,0.76,0.85,0.8049999999999999,Chichewa,Banking & Mobile Money
Kodi chimachitika ndi chiyani ndikataya khadi yanga ya ATM?,Nenani ku bankiyo kuti muletse ndikupewa chinyengo.,What happens if I lose my ATM card?,Report to the bank immediately to block it and avoid fraud.,0.8,0.76,0.78,Chichewa,Banking & Mobile Money
Kodi Agency Banking?,Imalola mabanki kuti azigwiritsa ntchito mashopu kapena othandizira kuti apereke chithandizo choyambira.,What is agency banking?,It allows banks to use shops or agents to provide basic banking services.,1.0,0.95,0.975,Chichewa,Banking & Mobile Money
E-Banking?,Ndi banki yochitidwa pakompyuta kudzera pamakompyuta kapena mafoni am'manja.,What is e-banking?,It is banking done electronically through computers or mobile phones.,0.6,1.0,0.8,Chichewa,Banking & Mobile Money
Kodi dongosolo ndi lotani?,Ndilangizo ku banki yanu kuti mulipire ndalama zokha.,What is a standing order?,It is an instruction to your bank to make regular payments automatically.,0.44,0.36363636363636365,0.40181818181818185,Chichewa,Banking & Mobile Money
Chifukwa chiyani mabille a mafoni ali otchuka?,"Ndiwobwino, mwachangu, ndipo safuna kuyendera banki.",Why are mobile wallets popular?,"They are convenient, quick, and do not require visiting a bank.",0.56,0.5636363636363636,0.5618181818181818,Chichewa,Banking & Mobile Money
Kodi kuphatikizidwa kwachuma ndi chiyani?,Zimatanthawuza kukhala ndi mwayi wopeza ndalama zothandiza ngati ndalama ndi ngongole.,What is financial inclusion?,It means having access to useful financial services like savings and loans.,0.8,0.39999999999999997,0.6,Chichewa,Banking & Mobile Money
Kodi ogula amateteza chiyani?,Imawonetsetsa makasitomala amachitiridwa zinthu mwachilungamo komanso osazunzidwa ndi omwe amapereka ndalama.,What is consumer protection in finance?,It ensures customers are treated fairly and not exploited by financial providers.,0.7,0.75,0.725,Chichewa,Consumer Protection & Fraud Awareness
Chifukwa chiyani kuwerenga mawu a ngongole musanasainine?,"Kumvetsetsa chiwongola dzanja, chindapusa, ndi zilango kotero kuti mupewe zodabwitsa.",Why read loan terms before signing?,"To understand interest rates, fees, and penalties so you avoid surprises.",1.0,0.9454545454545454,0.9727272727272727,Chichewa,Consumer Protection & Fraud Awareness
Kodi milandu yobisika ndi yotani?,"Sali ndalama sizifotokozedwa momveka bwino, monga kukonzanso.",What are hidden charges?,"They are costs not clearly explained, such as processing fees.",0.8,0.56,0.68,Chichewa,Consumer Protection & Fraud Awareness
Kodi ndingafotokozere bwanji zachinyengo?,"Lumikizanani ndi banki yanu, wogulitsa mafoni, kapena wowongolera nthawi yomweyo.",How do I report fraud?,"Contact your bank, mobile provider, or regulator immediately.",1.0,0.925,0.9625,Chichewa,Consumer Protection & Fraud Awareness
Kodi Kufatsa Ndi Chiyani?,Ndiwosambitsa komwe akunyenga akupusitsa kuti mumve zambiri ngati zikhomo.,What is phishing?,It is a scam where fraudsters trick you into giving personal details like PINs.,0.39999999999999997,0.3904761904761904,0.39523809523809517,Chichewa,Consumer Protection & Fraud Awareness
Chifukwa chiyani sindiyenera kugawana ndi otps?,Mapasiwedi amodzi ndi zinsinsi; Kugawana kumapangitsa kuti akuba abweretse ndalama zanu.,Why should I not share OTPs?,One-Time Passwords are secret codes; sharing them lets thieves steal your money.,0.8,0.7,0.75,Chichewa,Consumer Protection & Fraud Awareness
Kodi ngongole ndi chiyani?,Ndi pamene obwereketsa obwereketsa chiwongola dzanja kwambiri kwambiri.,What is loan sharking?,It is when informal lenders charge extremely high interest rates unfairly.,0.3,0.5636363636363636,0.43181818181818177,Chichewa,Consumer Protection & Fraud Awareness
Chifukwa chiyani onani mawu anu a banki?,"Kuwona zolakwitsa, milandu yolakwika, kapena zochitika zachinyengo.",Why check your bank statements?,"To spot errors, wrong charges, or fraudulent activities.",0.88,0.7,0.79,Chichewa,Consumer Protection & Fraud Awareness
Kodi chinsinsi cha data ndi chiyani?,Zikutanthauza kusunga zambiri zanu komanso zachuma.,What is data privacy in finance?,It means keeping your personal and financial information safe.,0.5,1.0,0.75,Chichewa,Consumer Protection & Fraud Awareness
Kodi Ndiyenera Kuchita Chiyani Ndikatha?,Nenani ku banki yanu kapena ogwiritsa ntchito kuti akonzedwe.,What should I do if I am overcharged?,Report to your bank or consumer protection authority for correction.,0.5428571428571428,0.56,0.5514285714285714,Chichewa,Consumer Protection & Fraud Awareness
Chifukwa Chiyani Pewani Kugawana Mafoni Mukamagwiritsa Ntchito Ndalama?,Ena atha kupeza akaunti yanu kapena pini popanda chilolezo.,Why avoid sharing phones when using mobile money?,Others may access your account or PIN without permission.,0.575,1.0,0.7875,Chichewa,Consumer Protection & Fraud Awareness
Kodi kubadwa ndi chiyani?,Zimachitika munthu akamagwiritsa ntchito tsatanetsatane wanu kuti atsegule maakaunti kapena kubwereketsa ndalama.,What is identity theft?,It happens when someone uses your personal details to open accounts or borrow money.,0.5,0.6047619047619047,0.5523809523809524,Chichewa,Consumer Protection & Fraud Awareness
Kodi Ndingadziwe Bwanji SMS SMS?,"Khalani osamala mauthenga omwe amapereka mphotho, zopempha mwachangu, kapena kufunsa zikhomo.",How can I recognize a scam SMS?,"Be cautious of messages offering prizes, urgent requests, or asking for PINs.",0.3428571428571428,0.75,0.5464285714285714,Chichewa,Consumer Protection & Fraud Awareness
Kodi ndichifukwa chiyani mapangano alinkhulidwe?,Chifukwa chake ogula amamvetsetsa ufulu wawo ndi ntchito zawo momveka bwino.,Why should contracts be in plain language?,So consumers understand their rights and duties clearly.,0.2857142857142857,0.7250000000000001,0.5053571428571428,Chichewa,Consumer Protection & Fraud Awareness
Kodi nthawi yozizira ndi chiyani?,Amakupatsani nthawi kuti muchepetse mgwirizano popanda chilango.,What are cooling-off periods?,They give you time to cancel a contract without penalty.,0.35,0.6799999999999999,0.5149999999999999,Chichewa,Consumer Protection & Fraud Awareness
Kodi ndichifukwa chiyani kuwerenga zachuma kumalumikizidwa?,"Mukadziwa zambiri, muyenera kuimitsidwa.",Why is financial literacy linked to protection?,"The more you know, the less likely you are to be cheated.",0.3428571428571428,0.32,0.3314285714285714,Chichewa,Consumer Protection & Fraud Awareness
Kodi okonza amathandiza bwanji ogula?,"Amakhazikitsa malamulo, kuwongolera kwa woyang'anira, ndi kulanga mopanda chilungamo.",How do regulators help consumers?,"They set rules, monitor providers, and punish unfair practices.",0.6799999999999999,0.4666666666666667,0.5733333333333333,Chichewa,Consumer Protection & Fraud Awareness
Kodi Chikumbutso Ndi Chiyani?,Ndi njira yothetsera kusagwirizana pakati pa makasitomala ndi othandizira.,What is dispute resolution?,It is a way to solve disagreements between customers and providers.,0.5,0.6909090909090909,0.5954545454545455,Chichewa,Consumer Protection & Fraud Awareness
Chinyengo ndi chiyani?,Chinyengo chake ndi chosakhulupirika kuba kapena kugwiritsa ntchito ndalama molakwika.,What is fraud?,Fraud is dishonest activity to steal or misuse money or identity.,1.0,0.38,0.69,Chichewa,Consumer Protection & Fraud Awareness
Bwanji Musapewe Kupereka Zambiri pa TV?,Achinyengo amatha kugwiritsa ntchito chidziwitsocho kuti andipukusa kapena kuba ndalama zanu.,Why avoid giving details on social media?,Fraudsters can use that information to trick you or steal your money.,0.5428571428571428,0.95,0.7464285714285714,Chichewa,Consumer Protection & Fraud Awareness
Kodi piramidi ndi chiyani?,Ndi ndalama zonama zomwe zimalipira mamembala akale ndi ndalama kwa atsopano.,What is a pyramid scheme?,It is a fake investment that pays old members with money from new ones.,0.56,0.47619047619047616,0.5180952380952382,Chichewa,Consumer Protection & Fraud Awareness
Kodi ndikudziwa bwanji ngati ndalama zake ndizabwino kwambiri?,"Ngati kubwerera sikumachitika kapena kukakamizidwa kuli kwakukulu, ndikosavuta.",How do I know if an offer is too good to be true?,"If returns are unrealistic or pressure is high, it is likely a scam.",0.47692307692307695,0.25,0.3634615384615385,Chichewa,Consumer Protection & Fraud Awareness
N 'chifukwa Chiyani Tiyenera Kuchenjeza SpS Scres?,Amakuthandizani kusintha zochitika nthawi yomweyo ndikuzindikira zachinyengo.,Why keep SMS alerts active?,They help you track transactions instantly and detect fraud.,0.32,0.6,0.45999999999999996,Chichewa,Consumer Protection & Fraud Awareness
Kodi sabata latsopano ndi liti?,Ndikudziwitsa za kupezeka kwa oyang'anira ndi ma NGO kuti aphunzitse ogula.,What is financial literacy week?,It is an awareness campaign run by regulators and NGOs to educate consumers.,0.44,0.4307692307692308,0.43538461538461537,Chichewa,Consumer Protection & Fraud Awareness
Ndani amateteza ogula m'Malawi?,Reserve banki of Malawi ndi mayanjano ogula amagwira madandaulo.,Who protects consumers in Malawi?,The Reserve Bank of Malawi and consumer associations handle complaints.,1.0,1.0,1.0,Chichewa,Consumer Protection & Fraud Awareness
Kodi kuwerenga kwa ndalama za digito ndi chiyani?,Ndi kuthekera kugwiritsa ntchito zida zama digito ngati mapulogalamu am'manja ndi uscd moyenera pandalama.,What is digital financial literacy?,It is the ability to use digital tools like mobile apps and USSD safely for money matters.,0.56,0.4235294117647059,0.491764705882353,Chichewa,Digital Financial Literacy
Kodi ndichifukwa chiyani kuwerenga kwa manambala kuli kofunikira?,Zimakuthandizani kupeza ntchito zachuma pamakono mosamala komanso molimba mtima.,Why is digital literacy important?,It helps you access modern financial services securely and confidently.,0.56,0.62,0.5900000000000001,Chichewa,Digital Financial Literacy
KODI NDI CHIYANI?,Ndi nambala yochepa yomwe mumayimba foni yanu kuti mugwiritse ntchito ndalama zam'manja popanda intaneti.,What is a USSD code?,It is a short code you dial on your phone to use mobile money without internet.,0.44,0.775,0.6075,Chichewa,Digital Financial Literacy
Kodi chikwama cha digito ndi chiani?,Ndi pulogalamu kapena akaunti yomwe imasunga ndalama pakompyuta pazolipira.,What is a digital wallet?,It is an app or account that stores money electronically for payments.,0.8,0.9,0.8500000000000001,Chichewa,Digital Financial Literacy
Chifukwa chiyani kusintha mapulogalamu anu?,Zosintha zimapangitsa nsikidzi ndikusintha chitetezo.,Why update your apps?,Updates fix bugs and improve security.,0.5,1.0,0.75,Chichewa,Digital Financial Literacy
Kodi chinsinsi cholimba ndi chiyani?,"Ndi yayitali, yapadera, komanso yosavuta kulingalira.",What is a strong password?,"It is long, unique, and not easy to guess.",0.6799999999999999,0.6666666666666667,0.6733333333333333,Chichewa,Digital Financial Literacy
Why avoid public Wi-Fi for transactions?,Wil Wi-Fi ndi osatetezeka komanso obera akhoza kuba deta yanu.,Why avoid public Wi-Fi for transactions?,Public Wi-Fi is unsafe and hackers may steal your data.,0.0,0.42,0.21,Chichewa,Digital Financial Literacy
Kodi chitsimikizo chachiwiri ndi chiani?,Imawonjezera gawo lowonjezera ngati nambala yotumizidwa pafoni yanu kuti iteteze.,What is two-factor authentication?,It adds an extra step like a code sent to your phone for more security.,0.5,0.43999999999999995,0.47,Chichewa,Digital Financial Literacy
Chifukwa Chiyani Kutulutsidwa Ntchito?,Zimalepheretsa ena kuti apeze akaunti yanu pazida zogawidwa.,Why log out after transactions?,It prevents others from accessing your account on shared devices.,0.12,1.0,0.56,Chichewa,Digital Financial Literacy
Chinyengo cham'mayendedwe ndi chiyani?,Ndi kuba kapena kusamba komwe kumachitika pogwiritsa ntchito mafoni a m'manja.,What is mobile fraud?,It is theft or scams carried out using mobile phones.,0.85,0.42,0.635,Chichewa,Digital Financial Literacy
Kodi nchifukwa ninji choyambira choyambira chiri chofunikira?,Imateteza ndalama zanu ndi zomwe zimasiyidwa ndi zomwe akubera.,Why is cybersecurity important?,It protects your money and personal data from hackers.,0.44999999999999996,0.8,0.625,Chichewa,Digital Financial Literacy
Kodi mapazi a digito ndi ati?,"Ndi mbiri ya zochitika zanu zapaintaneti, kuphatikizapo zochitika.",What are digital footprints?,"They are records of your online activities, including transactions.",0.8,0.26666666666666666,0.5333333333333333,Chichewa,Digital Financial Literacy
Kodi ndimayang'ana bwanji ngati pulogalamu yachuma ili yotetezeka?,Tsitsani kokha kuchokera ku masitolo ovomerezeka ndikuwerenga ndemanga.,How do I check if a financial app is safe?,Download only from official stores and read reviews.,0.9400000000000001,0.7250000000000001,0.8325,Chichewa,Digital Financial Literacy
Kodi simputa yanji?,Ndipamene amasamutsa nambala yanu ku SIM kuti muba ndalama.,What is SIM swap fraud?,It is when fraudsters transfer your number to another SIM to steal money.,0.12,0.6,0.36,Chichewa,Digital Financial Literacy
Chifukwa chiyani ndiyenera kubwezera foni yanga?,Chifukwa chake simutaya zambiri zachuma ngati foni yatayika.,Why should I back up my phone?,So you do not lose important financial data if the phone is lost.,0.6285714285714286,0.5692307692307692,0.5989010989010989,Chichewa,Digital Financial Literacy
Kodi OTP ndi chiani?,Mawu achinsinsi a nthawi imodzi ndi code yomwe yatumizidwa kuti mutsimikizire zomwe mwachita.,What is an OTP?,A one-time password is a code sent to confirm your transaction.,0.6499999999999999,1.0,0.825,Chichewa,Digital Financial Literacy
Bwanji osadina maulalo okayikitsa?,Amatha kutsogolera ku malo abodza omwe amaba zambiri.,Why not click suspicious links?,They may lead to fake sites that steal your information.,0.8,0.6799999999999999,0.74,Chichewa,Digital Financial Literacy
Kodi kuphatikizidwa kwa digito ndi chiyani?,Zimatanthawuza kuti aliyense ali ndi ntchito zotsika mtengo komanso za digito.,What is digital inclusion?,It means everyone has access to affordable internet and digital services.,0.8,0.6363636363636364,0.7181818181818183,Chichewa,Digital Financial Literacy
Kodi ndimaphunzira bwanji maluso azachuma?,"Pitani ku malo ochitiranjidwe, gwiritsani ntchito malangizo ogwirizana, ndipo yesetsani ndi zochepa.",How do I learn digital finance skills?,"Attend workshops, use official guides, and practice safely with small amounts.",0.6285714285714286,0.21818181818181817,0.42337662337662335,Chichewa,Digital Financial Literacy
Kodi ngongole yam'manja ndi chiyani?,Ndipamene ma spommers amapukusirani kuti mupereke zambiri zobera ngongole zam'manja m'dzina lanu.,What is mobile loan fraud?,It is when scammers trick you into giving details to steal mobile loans in your name.,0.56,0.3,0.43000000000000005,Chichewa,Digital Financial Literacy
Chifukwa chiyani kusunga mapulogalamu kusinthidwa?,Kusangalala ndi mawonekedwe atsopano ndi zoteteza.,Why keep apps updated?,To enjoy new features and security protections.,0.6499999999999999,0.6285714285714286,0.6392857142857142,Chichewa,Digital Financial Literacy
Kodi kutsimikizika kwa biometric?,Imagwiritsa ntchito chala chanu kapena nkhope yanu kuti mutsimikizire kudziwika.,What is biometric authentication?,It uses your fingerprint or face to confirm identity.,0.8,0.7333333333333334,0.7666666666666667,Chichewa,Digital Financial Literacy
Kodi ndimalemba bwanji zachinyengo zam'manja?,Itanani kuthandizira kwa Wogulitsa kapena kuchezera ofesi yawo nthawi yomweyo.,How do I report mobile money fraud?,Call your provider’s helpline or visit their office immediately.,0.3428571428571428,0.6,0.4714285714285714,Chichewa,Digital Financial Literacy
Chifukwa Chiyani Muyenera Kuwerenga Zidziwitso za SMS Mosamala?,Amatsimikizira zochitika zenizeni ndikuthandizira kuzindikira zachinyengo mwachangu.,Why read SMS alerts carefully?,They confirm real transactions and help detect fraud quickly.,0.6799999999999999,0.8666666666666667,0.7733333333333333,Chichewa,Digital Financial Literacy
Kodi ukadaulo wachuma ndi uti? Fintech)?,Zimatanthawuza kugwiritsa ntchito ukadaulo kuti musinthe ndalama ngati banki.,What is financial technology (fintech)?,It means using technology to improve financial services like banking and payments.,0.56,0.5,0.53,Chichewa,Digital Financial Literacy
Kodi mndandanda ndi chiyani?,Malangizo ndichinthu chomwe mumalonjeza kuti munthu abwerere kuti ateteze ngongole; Wobwereketsa akhoza kugulitsa ngati simubweza. [Gwero: banki World],What is collateral?,Collateral is something you pledge to a lender to secure a loan; the lender may sell it if you do not repay. [Source: World Bank],0.39999999999999997,0.6,0.5,Chichewa,Credit & Loans
